sentence1,sentence2,similarity_score
The sky is blue.,The sky is clear and blue.,0.95
I love playing football.,I enjoy playing soccer.,0.9
The cat sat on the mat.,The dog lay on the rug.,0.8
She is reading a book.,She is eating an apple.,0.2
They went to the cinema last night.,They visited the movie theater yesterday evening.,0.95
He likes to swim in the ocean.,He enjoys swimming in the sea.,0.9
It's raining heavily outside.,The weather is sunny and bright.,0.1
Can you help me with this problem?,Could you assist me with this issue?,0.95
The car is new and fast.,The vehicle is old and slow.,0.2
Let's meet at the cafe at noon.,Shall we get together at the coffee shop at 12 pm?,0.85
The sun is shining brightly.,It's a sunny day.,0.9
He bought a new laptop yesterday.,"Yesterday, he purchased a brand new notebook.",0.85
She enjoys painting landscapes.,She loves creating landscape artworks.,0.95
The restaurant was very crowded.,There were many people at the eatery.,0.8
I can't find my wallet.,My purse is missing.,0.7
He is fluent in Spanish.,He speaks Spanish very well.,0.9
They are watching a movie.,They are seeing a film.,0.95
The flowers are blooming in the garden.,The garden is full of blooming flowers.,0.9
She is wearing a red dress.,She has on a crimson gown.,0.85
I need to charge my phone.,My mobile needs to be recharged.,0.9
The dog barked loudly.,The canine made a loud noise.,0.8
They are planning to build a house.,They intend to construct a home.,0.9
He travels by train every day.,He commutes daily by rail.,0.85
The meeting was postponed to next week.,The conference was rescheduled for the following week.,0.9
She has a fear of heights.,She is afraid of high places.,0.95
I prefer tea over coffee.,I like tea more than coffee.,0.9
The book is on the table.,There is a book placed on the desk.,0.8
He didn't arrive on time.,He was late.,0.7
She is allergic to peanuts.,She cannot eat peanuts due to an allergy.,0.9
They moved to a new apartment.,They relocated to a different flat.,0.85
The weather forecast predicts rain.,It is expected to rain according to the weather report.,0.9
He works as a software engineer.,He is employed as a programmer.,0.85
I love listening to classical music.,Classical tunes are my favorite to listen to.,0.9
The child is drawing with crayons.,The kid is coloring using crayons.,0.9
She forgot to lock the door.,She didn't remember to secure the entrance.,0.85
They went hiking in the mountains.,They trekked through the hills.,0.8
He is cooking dinner tonight.,He is preparing the evening meal today.,0.9
The airplane took off smoothly.,The flight departed without issues.,0.85
I need to renew my passport.,My passport requires renewal.,0.9
She teaches mathematics at the university.,She is a math professor at the college.,0.9
The cat is chasing a mouse.,The feline is pursuing a rodent.,0.85
They celebrated their anniversary yesterday.,They marked their yearly milestone yesterday.,0.8
He reads the newspaper every morning.,"Each morning, he goes through the news.",0.8
I spilled coffee on my shirt.,I accidentally poured coffee over my top.,0.85
She is learning to play the piano.,She is taking piano lessons.,0.9
The store is open from 9 am to 5 pm.,The shop operates between 9 in the morning and 5 in the evening.,0.9
He has a collection of rare coins.,He collects uncommon currency pieces.,0.85
They adopted a puppy from the shelter.,They took in a young dog from the animal refuge.,0.9
I lost my glasses somewhere.,I can't find my spectacles anywhere.,0.9
She prefers walking to driving.,She likes to walk rather than drive.,0.85
The conference starts next Monday.,The symposium begins on the coming Monday.,0.9
He was promoted to manager.,He advanced to the position of manager.,0.9
They are renovating their kitchen.,They are updating their cooking area.,0.85
I enjoy watching the sunset.,I love observing the sun go down.,0.9
She bought a bouquet of roses.,She purchased a bunch of roses.,0.95
The train was delayed due to snow.,Snow caused the train to be late.,0.85
He is writing a novel.,He is composing a book.,0.8
They are studying for the final exam.,They are preparing for the last test.,0.9
I have an appointment with the dentist.,I am scheduled to see the dentist.,0.9
She is fluent in three languages.,She can speak three languages fluently.,0.95
The park is crowded on weekends.,Many people visit the park during weekends.,0.8
He forgot his umbrella at home.,He left his umbrella at the house.,0.9
They are discussing the new project.,They are talking about the latest assignment.,0.85
I need to replace the batteries.,I have to change the batteries.,0.9
She enjoys watching horror movies.,She likes viewing scary films.,0.9
The chef is preparing a special dish.,The cook is making a unique meal.,0.85
He has a meeting with the client.,He is meeting the customer.,0.8
They are painting the living room.,They are applying paint to the lounge.,0.85
I am waiting for the bus.,I am standing by for the bus to arrive.,0.9
She is looking for a new job.,She is searching for new employment.,0.95
The museum is closed on Mondays.,The gallery doesn't open on Mondays.,0.9
He plays tennis every weekend.,He engages in tennis each weekend.,0.85
They attended the concert last night.,They went to the music event yesterday evening.,0.9
I need to water the plants.,My plants require watering.,0.9
She is wearing a pair of earrings.,She has earrings on.,0.8
The movie was extremely entertaining.,The film was very enjoyable.,0.9
He always forgets his keys.,He habitually leaves his keys behind.,0.85
They are building a new bridge.,A new bridge is under construction by them.,0.9
I like to drink coffee in the morning.,I prefer having coffee during the morning.,0.9
She has a meeting at 2 pm.,Her appointment is scheduled for 2 pm.,0.9
The dog loves playing fetch.,The canine enjoys retrieving objects.,0.85
He is saving money to buy a car.,He is accumulating funds to purchase a vehicle.,0.9
They visited the art gallery.,They toured the art museum.,0.8
I need to finish this report by Friday.,I must complete this document before Friday.,0.9
She is allergic to cat hair.,Cat fur causes her allergic reactions.,0.85
The students are working on a group project.,The pupils are collaborating on a project.,0.9
He enjoys reading science fiction novels.,He likes to read sci-fi books.,0.9
They are organizing a surprise party.,They are planning a secret celebration.,0.85
I lost track of time.,I didn't realize how late it was.,0.8
She is training for a marathon.,She is preparing to run a marathon.,0.9
The bakery sells fresh bread daily.,Fresh bread is available at the bakery every day.,0.95
He is watching a football match.,He is viewing a soccer game.,0.9
They are learning how to code.,They are studying programming.,0.85
I need to cancel my subscription.,I have to terminate my membership.,0.9
She sings beautifully.,Her singing is beautiful.,0.9
The library is quiet and peaceful.,The library offers a calm atmosphere.,0.8
He is fixing his bicycle.,He is repairing his bike.,0.95
They are camping in the forest.,They are spending time outdoors in the woods.,0.85
I forgot to send the email.,I didn't remember to email.,0.8
She is baking chocolate cookies.,She is making chocolate biscuits.,0.9
The car needs an oil change.,The vehicle requires an oil replacement.,0.85
He is taking a photography class.,He is enrolled in a course on photography.,0.9
They are exploring the city.,They are discovering the urban area.,0.8
I have to walk the dog.,I need to take the dog for a walk.,0.95
She likes to swim in the lake.,She enjoys swimming in the lake.,0.95
The coffee is too hot to drink.,The beverage is too warm to consume.,0.85
He is designing a new website.,He is creating a new webpage.,0.9
They are enjoying their vacation.,They are having a good time on their holiday.,0.9
I am looking forward to the weekend.,I can't wait for the weekend.,0.85
She bought a ticket to the concert.,She purchased admission to the show.,0.9
The baby is sleeping peacefully.,The infant is resting quietly.,0.95
He is cleaning the windows.,He is washing the glass panes.,0.85
They are attending a wedding ceremony.,They are going to a marriage event.,0.8
I need to pack my luggage.,I have to prepare my bags.,0.9
She is practicing yoga every morning.,She does yoga exercises each morning.,0.9
The computer is running slowly.,The PC is operating at a slow speed.,0.85
He forgot to pay the bills.,He neglected to settle the invoices.,0.9
They are harvesting apples from the orchard.,They are picking apples from the grove.,0.9
I enjoy visiting museums.,I like going to galleries.,0.85
She is decorating her new apartment.,She is embellishing her new flat.,0.9
The train station is crowded.,There are many people at the railway station.,0.8
He is learning to play chess.,He is studying how to play chess.,0.95
They are rehearsing for the play.,They are practicing for the theatrical performance.,0.9
I spilled juice on the carpet.,I accidentally dropped juice on the rug.,0.85
She adopted a kitten.,She took in a baby cat.,0.9
The sun rises in the east.,The sun comes up from the east.,0.95
He is assembling a new desk.,He is putting together a new table.,0.85
They are singing in the choir.,They are vocalizing in the chorus.,0.9
I need to renew my driver's license.,My driving permit needs renewal.,0.9
She is knitting a scarf.,She is crafting a scarf with yarn.,0.85
The sun is shining brightly.,I forgot my umbrella at home.,0.1
He bought a new laptop yesterday.,She is cooking dinner tonight.,0
She enjoys painting landscapes.,They are playing football in the park.,0.1
The restaurant was very crowded.,The cat slept under the bed.,0
I can't find my wallet.,It's raining heavily outside.,0
He is fluent in Spanish.,The book is on the table.,0.1
They are watching a movie.,I need to water the plants.,0
The flowers are blooming in the garden.,He is fixing his bicycle.,0.1
She is wearing a red dress.,They are hiking in the mountains.,0
I need to charge my phone.,The dog barked loudly.,0
The dog barked loudly.,She is baking chocolate cookies.,0
They are planning to build a house.,I lost my glasses somewhere.,0.1
He travels by train every day.,The sun rises in the east.,0.1
The meeting was postponed to next week.,She enjoys watching horror movies.,0
She has a fear of heights.,They are exploring the city.,0.1
I prefer tea over coffee.,He is watching a football match.,0.1
The book is on the table.,She adopted a kitten.,0
He didn't arrive on time.,The coffee is too hot to drink.,0
